quadrat,square,x,y,block,strip,density,cc,Cotyledons,2.5cm,5cm,10cm,15cm,20cm,25cm,counter
137,"4,4",4,4,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"4,5",4,5,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
137,"4,6",4,6,1,13,500,ldshoots,0,0,0,0,0,0,0,Abbe Hamilton
138,"1,4",1,4,1,13,5000,ldshoots,0,0,0,1,0,0,0,Abbe Hamilton
138,"1,5",1,5,1,13,5000,ldshoots,2,2,1,1,0,0,0,Abbe Hamilton
138,"1,6",1,6,1,13,5000,ldshoots,0,0,0,3,0,0,0,Abbe Hamilton
138,"2,4",2,4,1,13,5000,ldshoots,1,0,2,2,0,0,0,Abbe Hamilton
138,"2,5",2,5,1,13,5000,ldshoots,0,0,0,0,0,0,0,
138,"2,6",2,6,1,13,5000,ldshoots,0,0,0,1,0,0,0,Abbe Hamilton
138,"3,4",3,4,1,13,5000,ldshoots,0,0,1,0,0,0,0,Abbe Hamilton
138,"3,5",3,5,1,13,5000,ldshoots,0,0,1,2,0,0,0,Abbe Hamilton
138,"3,6",3,6,1,13,5000,ldshoots,0,0,0,2,0,0,0,Abbe Hamilton
138,"4,4",4,4,1,13,5000,ldshoots,0,2,0,0,0,0,0,Abbe Hamilton
138,"4,5",4,5,1,13,5000,ldshoots,0,0,1,0,0,0,0,Abbe Hamilton
138,"4,6",4,6,1,13,5000,ldshoots,0,0,1,0,0,0,0,Abbe Hamilton
141,"1,4",1,4,1,14,500,hdr,0,0,0,0,0,0,0,
141,"1,5",1,5,1,14,500,hdr,0,0,0,0,0,0,0,
141,"1,6",1,6,1,14,500,hdr,0,0,0,0,0,0,0,
141,"2,4",2,4,1,14,500,hdr,0,0,0,0,0,0,0,
141,"2,5",2,5,1,14,500,hdr,0,0,0,0,0,0,0,
141,"2,6",2,6,1,14,500,hdr,0,0,1,0,0,0,0,Abbe Hamilton
141,"3,4",3,4,1,14,500,hdr,0,0,0,0,0,0,0,
141,"3,5",3,5,1,14,500,hdr,0,0,0,0,0,0,0,
141,"3,6",3,6,1,14,500,hdr,0,0,0,0,0,0,0,
141,"4,4",4,4,1,14,500,hdr,0,0,0,0,0,0,0,
141,"4,5",4,5,1,14,500,hdr,0,0,0,0,0,0,0,
141,"4,6",4,6,1,14,500,hdr,0,0,0,0,0,0,0,
145,"1,4",1,4,1,14,50000,hdr,2,23,0,0,0,0,0,Abbe Hamilton
145,"1,5",1,5,1,14,50000,hdr,1,64,2,0,0,0,0,Abbe Hamilton
145,"1,6",1,6,1,14,50000,hdr,0,42,0,0,0,0,0,Abbe Hamilton
145,"2,4",2,4,1,14,50000,hdr,4,20,0,0,0,0,0,Abbe Hamilton
145,"2,5",2,5,1,14,50000,hdr,0,70,2,0,0,0,0,Abbe Hamilton
145,"2,6",2,6,1,14,50000,hdr,1,27,0,0,0,0,0,Abbe Hamilton
145,"3,4",3,4,1,14,50000,hdr,7,75,0,0,0,0,0,Abbe Hamilton
145,"3,5",3,5,1,14,50000,hdr,3,62,3,0,0,0,0,Abbe Hamilton
145,"3,6",3,6,1,14,50000,hdr,1,20,0,0,0,0,0,Abbe Hamilton
145,"4,4",4,4,1,14,50000,hdr,10,71,5,0,0,0,0,Abbe Hamilton
145,"4,5",4,5,1,14,50000,hdr,0,69,0,0,0,0,0,Abbe Hamilton
145,"4,6",4,6,1,14,50000,hdr,0,6,0,0,0,0,0,Abbe Hamilton
146,"1,4",1,4,1,14,5000,hdr,2,2,6,1,0,0,0,Abbe Hamilton
146,"1,5",1,5,1,14,5000,hdr,2,2,18,1,0,0,0,Abbe Hamilton
146,"1,6",1,6,1,14,5000,hdr,1,1,4,0,0,0,0,Abbe Hamilton
146,"2,4",2,4,1,14,5000,hdr,1,1,2,1,0,0,0,Abbe Hamilton
146,"2,5",2,5,1,14,5000,hdr,0,0,8,0,0,0,0,Abbe Hamilton
146,"2,6",2,6,1,14,5000,hdr,0,0,0,0,0,0,0,Abbe Hamilton
146,"3,4",3,4,1,14,5000,hdr,0,0,6,0,0,0,0,Abbe Hamilton
146,"3,5",3,5,1,14,5000,hdr,0,0,2,0,0,0,0,Abbe Hamilton
146,"3,6",3,6,1,14,5000,hdr,0,0,2,0,0,0,0,Abbe Hamilton
146,"4,4",4,4,1,14,5000,hdr,2,2,6,2,0,0,0,Abbe Hamilton
146,"4,5",4,5,1,14,5000,hdr,3,3,6,1,0,0,0,Abbe Hamilton
146,"4,6",4,6,1,14,5000,hdr,0,0,5,2,0,0,0,Abbe Hamilton
149,"1,4",1,4,1,14,50,hdr,0,1,0,0,0,0,0,Abbe Hamilton
149,"1,5",1,5,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"1,6",1,6,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"2,4",2,4,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"2,5",2,5,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"2,6",2,6,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"3,4",3,4,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"3,5",3,5,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"3,6",3,6,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"4,4",4,4,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"4,5",4,5,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
149,"4,6",4,6,1,14,50,hdr,0,0,0,0,0,0,0,Abbe Hamilton
152,"1,4",1,4,1,15,50,hdshoots,0,1,0,0,0,0,0,Abbe Hamilton
152,"1,5",1,5,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"1,6",1,6,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
152,"2,4",2,4,1,15,50,hdshoots,0,0,0,0,0,0,0,Abbe Hamilton
